"scenario_id","family","slice","slice_membership","paper_anchor","scenario_label","generating_model","generating_link","fitted_model","fitted_link","base_seed","seed_rule","B","alpha","generating_interaction","N","k_trials","chance","age_min","age_max","age_center","beta_intercept","beta_age","beta_group","beta_age_group","beta_main_1_multiplier","beta_main_2_multiplier","varied_parameter","varied_value","J","item_max","theta_sd","beta_x","beta_x_group","x_min","x_max","threshold_shift","n_subjects","target_icc","reference_beta_intercept","reference_beta_group","reference_beta_condition","reference_beta_group_condition","logit_probit_scale","coefficient_scale","beta_condition","beta_group_condition"
"FC-011","forced_choice","main_effect_surface","main_effect_surface",FALSE,"Age effect x 1.50; group effect x 1.50","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,0,0.9,-1.35,0,1.5,1.5,"beta_age_multiplier;beta_group_multiplier",,,,,,,,,,,,,,,,,,,
"FC-012","forced_choice","sample_size","sample_size",FALSE,"N = 50","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,50,20,0.5,6,10,8,0,0.6,-0.9,0,1,1,"N",50,,,,,,,,,,,,,,,,,,
"FC-013","forced_choice","sample_size","sample_size",FALSE,"N = 100","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,100,20,0.5,6,10,8,0,0.6,-0.9,0,1,1,"N",100,,,,,,,,,,,,,,,,,,
"FC-014","forced_choice","sample_size","sample_size",FALSE,"N = 150","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,150,20,0.5,6,10,8,0,0.6,-0.9,0,1,1,"N",150,,,,,,,,,,,,,,,,,,
"FC-015","forced_choice","sample_size","sample_size",FALSE,"N = 200","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,200,20,0.5,6,10,8,0,0.6,-0.9,0,1,1,"N",200,,,,,,,,,,,,,,,,,,
"FC-016","forced_choice","sample_size","sample_size",FALSE,"N = 500","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,500,20,0.5,6,10,8,0,0.6,-0.9,0,1,1,"N",500,,,,,,,,,,,,,,,,,,
"FC-017","forced_choice","sample_size","sample_size",FALSE,"N = 1000","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,1000,20,0.5,6,10,8,0,0.6,-0.9,0,1,1,"N",1000,,,,,,,,,,,,,,,,,,
"FC-018","forced_choice","scale_location","scale_location",FALSE,"Intercept = -1.50","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,-1.5,0.6,-0.9,0,1,1,"beta_intercept",-1.5,,,,,,,,,,,,,,,,,,
"FC-019","forced_choice","scale_location","scale_location",FALSE,"Intercept = 1.50","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,1.5,0.6,-0.9,0,1,1,"beta_intercept",1.5,,,,,,,,,,,,,,,,,,
"FC-020","forced_choice","trial_count","trial_count",FALSE,"Trials = 5","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,5,0.5,6,10,8,0,0.6,-0.9,0,1,1,"k_trials",5,,,,,,,,,,,,,,,,,,
"FC-021","forced_choice","trial_count","trial_count",FALSE,"Trials = 10","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,10,0.5,6,10,8,0,0.6,-0.9,0,1,1,"k_trials",10,,,,,,,,,,,,,,,,,,
"FC-022","forced_choice","trial_count","trial_count",FALSE,"Trials = 50","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,50,0.5,6,10,8,0,0.6,-0.9,0,1,1,"k_trials",50,,,,,,,,,,,,,,,,,,
"FC-023","forced_choice","chance_level","chance_level",FALSE,"Chance = 0.25","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.25,6,10,8,0,0.6,-0.9,0,1,1,"chance",0.25,,,,,,,,,,,,,,,,,,
"FC-024","forced_choice","chance_level","chance_level",FALSE,"Chance = 0.3333","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.333333333333333,6,10,8,0,0.6,-0.9,0,1,1,"chance",0.333333333333333,,,,,,,,,,,,,,,,,,
"SS-001","sum_scores","paper_anchor","paper_anchor;scale_location",TRUE,"Lower range","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,600,,,,,,,,-0.9,,1,1,"threshold_shift",1.6,9,3,1,0.85,0,-1,1,1.6,,,,,,,,,,
"SS-002","sum_scores","paper_anchor","paper_anchor;main_effect_surface;sample_size;scale_location;item_count;latent_dispersion",TRUE,"Middle range","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,600,,,,,,,,-0.9,,1,1,"threshold_shift",0,9,3,1,0.85,0,-1,1,0,,,,,,,,,,
"SS-003","sum_scores","paper_anchor","paper_anchor;scale_location",TRUE,"Upper range","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,600,,,,,,,,-0.9,,1,1,"threshold_shift",-1.6,9,3,1,0.85,0,-1,1,-1.6,,,,,,,,,,
"SS-004","sum_scores","main_effect_surface","main_effect_surface",FALSE,"x effect x 0.50; group effect x 0.50","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,600,,,,,,,,-0.45,,0.5,0.5,"beta_x_multiplier;beta_group_multiplier",,9,3,1,0.425,0,-1,1,0,,,,,,,,,,
"SS-005","sum_scores","main_effect_surface","main_effect_surface",FALSE,"x effect x 1.00; group effect x 0.50","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,600,,,,,,,,-0.45,,1,0.5,"beta_x_multiplier;beta_group_multiplier",,9,3,1,0.85,0,-1,1,0,,,,,,,,,,
"SS-006","sum_scores","main_effect_surface","main_effect_surface",FALSE,"x effect x 1.50; group effect x 0.50","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,600,,,,,,,,-0.45,,1.5,0.5,"beta_x_multiplier;beta_group_multiplier",,9,3,1,1.275,0,-1,1,0,,,,,,,,,,
"SS-007","sum_scores","main_effect_surface","main_effect_surface",FALSE,"x effect x 0.50; group effect x 1.00","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,600,,,,,,,,-0.9,,0.5,1,"beta_x_multiplier;beta_group_multiplier",,9,3,1,0.425,0,-1,1,0,,,,,,,,,,
"SS-008","sum_scores","main_effect_surface","main_effect_surface",FALSE,"x effect x 1.50; group effect x 1.00","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,600,,,,,,,,-0.9,,1.5,1,"beta_x_multiplier;beta_group_multiplier",,9,3,1,1.275,0,-1,1,0,,,,,,,,,,
"SS-009","sum_scores","main_effect_surface","main_effect_surface",FALSE,"x effect x 0.50; group effect x 1.50","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,600,,,,,,,,-1.35,,0.5,1.5,"beta_x_multiplier;beta_group_multiplier",,9,3,1,0.425,0,-1,1,0,,,,,,,,,,
"SS-010","sum_scores","main_effect_surface","main_effect_surface",FALSE,"x effect x 1.00; group effect x 1.50","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,600,,,,,,,,-1.35,,1,1.5,"beta_x_multiplier;beta_group_multiplier",,9,3,1,0.85,0,-1,1,0,,,,,,,,,,
"SS-011","sum_scores","main_effect_surface","main_effect_surface",FALSE,"x effect x 1.50; group effect x 1.50","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,600,,,,,,,,-1.35,,1.5,1.5,"beta_x_multiplier;beta_group_multiplier",,9,3,1,1.275,0,-1,1,0,,,,,,,,,,
"SS-012","sum_scores","sample_size","sample_size",FALSE,"N = 75","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,75,,,,,,,,-0.9,,1,1,"N",75,9,3,1,0.85,0,-1,1,0,,,,,,,,,,
"SS-013","sum_scores","sample_size","sample_size",FALSE,"N = 150","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,150,,,,,,,,-0.9,,1,1,"N",150,9,3,1,0.85,0,-1,1,0,,,,,,,,,,
"SS-014","sum_scores","sample_size","sample_size",FALSE,"N = 225","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,225,,,,,,,,-0.9,,1,1,"N",225,9,3,1,0.85,0,-1,1,0,,,,,,,,,,
"SS-015","sum_scores","sample_size","sample_size",FALSE,"N = 300","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,300,,,,,,,,-0.9,,1,1,"N",300,9,3,1,0.85,0,-1,1,0,,,,,,,,,,
"SS-016","sum_scores","sample_size","sample_size",FALSE,"N = 450","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,450,,,,,,,,-0.9,,1,1,"N",450,9,3,1,0.85,0,-1,1,0,,,,,,,,,,
"SS-017","sum_scores","sample_size","sample_size",FALSE,"N = 1200","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,1200,,,,,,,,-0.9,,1,1,"N",1200,9,3,1,0.85,0,-1,1,0,,,,,,,,,,
"SS-018","sum_scores","scale_location","scale_location",FALSE,"Threshold shift = -2.00","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,600,,,,,,,,-0.9,,1,1,"threshold_shift",-2,9,3,1,0.85,0,-1,1,-2,,,,,,,,,,
"SS-019","sum_scores","scale_location","scale_location",FALSE,"Threshold shift = 2.00","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,600,,,,,,,,-0.9,,1,1,"threshold_shift",2,9,3,1,0.85,0,-1,1,2,,,,,,,,,,
"SS-020","sum_scores","item_count","item_count",FALSE,"Items = 5","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,600,,,,,,,,-0.9,,1,1,"J",5,5,3,1,0.85,0,-1,1,0,,,,,,,,,,
"SS-021","sum_scores","item_count","item_count",FALSE,"Items = 15","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,600,,,,,,,,-0.9,,1,1,"J",15,15,3,1,0.85,0,-1,1,0,,,,,,,,,,
"SS-022","sum_scores","latent_dispersion","latent_dispersion",FALSE,"Latent SD = 0.70","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,600,,,,,,,,-0.9,,1,1,"theta_sd",0.7,9,3,0.7,0.85,0,-1,1,0,,,,,,,,,,
"SS-023","sum_scores","latent_dispersion","latent_dispersion",FALSE,"Latent SD = 1.30","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,600,,,,,,,,-0.9,,1,1,"theta_sd",1.3,9,3,1.3,0.85,0,-1,1,0,,,,,,,,,,
"WF-001","within_family","paper_anchor","paper_anchor;main_effect_surface;sample_size;trial_count;latent_location;icc",TRUE,"Logit-generated manuscript scenario","Random-intercept binomial","logit","Binomial logit;Binomial probit","logit;probit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",300,0.05,0,,15,,,,,2.475,,-1.65,,1,1,,,,,,,,,,,700,0.3,1.5,-1,-1,0,1.65,1.65,-1.65,0
"WF-002","within_family","paper_anchor","paper_anchor;main_effect_surface;sample_size;trial_count;latent_location;icc",TRUE,"Probit-generated manuscript scenario","Random-intercept binomial","probit","Binomial logit;Binomial probit","logit;probit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",300,0.05,0,,15,,,,,1.5,,-1,,1,1,,,,,,,,,,,700,0.3,1.5,-1,-1,0,1.65,1,-1,0
"WF-003","within_family","main_effect_surface","main_effect_surface",FALSE,"logit generated: group x 0.50; condition x 0.50","Random-intercept binomial","logit","Binomial logit;Binomial probit","logit;probit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",300,0.05,0,,15,,,,,2.475,,-0.825,,0.5,0.5,"beta_group_multiplier;beta_condition_multiplier",,,,,,,,,,700,0.3,1.5,-0.5,-0.5,0,1.65,1.65,-0.825,0
"WF-004","within_family","main_effect_surface","main_effect_surface",FALSE,"logit generated: group x 1.00; condition x 0.50","Random-intercept binomial","logit","Binomial logit;Binomial probit","logit;probit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",300,0.05,0,,15,,,,,2.475,,-1.65,,1,0.5,"beta_group_multiplier;beta_condition_multiplier",,,,,,,,,,700,0.3,1.5,-1,-0.5,0,1.65,1.65,-0.825,0
"WF-005","within_family","main_effect_surface","main_effect_surface",FALSE,"logit generated: group x 1.50; condition x 0.50","Random-intercept binomial","logit","Binomial logit;Binomial probit","logit;probit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",300,0.05,0,,15,,,,,2.475,,-2.475,,1.5,0.5,"beta_group_multiplier;beta_condition_multiplier",,,,,,,,,,700,0.3,1.5,-1.5,-0.5,0,1.65,1.65,-0.825,0
"WF-006","within_family","main_effect_surface","main_effect_surface",FALSE,"logit generated: group x 0.50; condition x 1.00","Random-intercept binomial","logit","Binomial logit;Binomial probit","logit;probit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",300,0.05,0,,15,,,,,2.475,,-0.825,,0.5,1,"beta_group_multiplier;beta_condition_multiplier",,,,,,,,,,700,0.3,1.5,-0.5,-1,0,1.65,1.65,-1.65,0
"WF-007","within_family","main_effect_surface","main_effect_surface",FALSE,"logit generated: group x 1.50; condition x 1.00","Random-intercept binomial","logit","Binomial logit;Binomial probit","logit;probit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",300,0.05,0,,15,,,,,2.475,,-2.475,,1.5,1,"beta_group_multiplier;beta_condition_multiplier",,,,,,,,,,700,0.3,1.5,-1.5,-1,0,1.65,1.65,-1.65,0
"WF-008","within_family","main_effect_surface","main_effect_surface",FALSE,"logit generated: group x 0.50; condition x 1.50","Random-intercept binomial","logit","Binomial logit;Binomial probit","logit;probit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",300,0.05,0,,15,,,,,2.475,,-0.825,,0.5,1.5,"beta_group_multiplier;beta_condition_multiplier",,,,,,,,,,700,0.3,1.5,-0.5,-1.5,0,1.65,1.65,-2.475,0
"WF-009","within_family","main_effect_surface","main_effect_surface",FALSE,"logit generated: group x 1.00; condition x 1.50","Random-intercept binomial","logit","Binomial logit;Binomial probit","logit;probit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",300,0.05,0,,15,,,,,2.475,,-1.65,,1,1.5,"beta_group_multiplier;beta_condition_multiplier",,,,,,,,,,700,0.3,1.5,-1,-1.5,0,1.65,1.65,-2.475,0
"WF-010","within_family","main_effect_surface","main_effect_surface",FALSE,"logit generated: group x 1.50; condition x 1.50","Random-intercept binomial","logit","Binomial logit;Binomial probit","logit;probit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",300,0.05,0,,15,,,,,2.475,,-2.475,,1.5,1.5,"beta_group_multiplier;beta_condition_multiplier",,,,,,,,,,700,0.3,1.5,-1.5,-1.5,0,1.65,1.65,-2.475,0
